,Avg Rate,QoS Fails
Opt-convex,17.850621302063765,16.0
Bal-convex,17.850621302063768,9.0
Opt-heuristic,17.85063349511897,16.0
Bal-heuristic,17.850637420550296,9.0
Opt-learning,17.85063711887623,16.0
Bal-learning,17.850637420550296,9.0
